title,location,time_of_work,type_of_agreement,salary,article_url
Kucharz do Hotelu 3 *** w Krakowie,12  gru,Niepełny etat,Umowa o pracę,od 14 zł do 18 zł/mies.  brutto,https://www.olx.pl/oferta/kucharz-do-hotelu-3-w-krakowie-CID4-IDCmF9E.html#894c58ffe1
Kuchnia to nasza pasja POSZUKIWANY SUSHI MASTER,"Kraków, Bieżanów-Prokocim",Pełny etat,Umowa o pracę,od 28 zł do 29 zł/mies.  brutto,https://www.olx.pl/oferta/kuchnia-to-nasza-pasja-poszukiwany-sushi-master-CID4-IDCOrNA.html#894c58ffe1
Restauracja włoska zatrudni pizzera z doświadczeniem,11  gru,Pełny etat,Umowa o pracę,od 4 000 zł do 6 000 zł/mies.  brutto,https://www.olx.pl/oferta/restauracja-wloska-zatrudni-pizzera-z-doswiadczeniem-CID4-IDCOnYa.html#894c58ffe1
Kuchnia to nasza pasja POSZUKIWANY KUCHARZA,"Kraków, Grzegórzki",Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kuchnia-to-nasza-pasja-poszukiwany-kucharza-CID4-IDCM9r5.html#894c58ffe1
Kasjer-bufetowa,wczoraj 11:02,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kasjer-bufetowa-CID4-IDCOhR5.html#894c58ffe1
"Włoska restauracja zatrudni kelnerki, kelnerów.","Kraków, Podgórze",Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/wloska-restauracja-zatrudni-kelnerki-kelnerow-CID4-IDCOgWG.html#894c58ffe1
Bar Kraków Zabłocie,wczoraj 14:56,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/bar-krakow-zablocie-CID4-IDwtNWP.html#894c58ffe1
Pomoc kucharza Kurdwanów,"Kraków, Stare Miasto",Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pomoc-kucharza-kurdwanow-CID4-IDCOdbd.html#894c58ffe1
Wydawanie posiłkow w Pijalni,9  gru,Niepełny etat,Umowa o pracę,,https://www.olx.pl/oferta/wydawanie-posilkow-w-pijalni-CID4-IDAkh80.html#894c58ffe1
Kelner - Barman,"Kraków, Dębniki",Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kelner-barman-CID4-IDCJqBw.html#894c58ffe1
Pizzer,9  gru,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pizzer-CID4-IDCNwjE.html#894c58ffe1
Restauracja zatrudni Kucharza,"Kraków, Podgórze",Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/restauracja-zatrudni-kucharza-CID4-IDAGJx6.html#894c58ffe1
Pizzer / Pizzaiolo / Pizzamaker,9  gru,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pizzer-pizzaiolo-pizzamaker-CID4-IDCN708.html#894c58ffe1
Kelner / Barman,"Kraków, Stare Miasto",Niepełny etat,Umowa o pracę,od 16 zł do 19 zł/godz.  brutto,https://www.olx.pl/oferta/kelner-barman-CID4-IDCN6EG.html#894c58ffe1
Kelner Wysokie napiwki,9  gru,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kelner-wysokie-napiwki-CID4-IDCMdxc.html#894c58ffe1
Obsługa klienta lunch bar,"Kraków, Podgórze",Pełny etat,Umowa o pracę,od 4 800 zł do 7 000 zł/mies.  brutto,https://www.olx.pl/oferta/obsluga-klienta-lunch-bar-CID4-IDCM9pg.html#894c58ffe1
Restauracja Pasjo zatrudni barmana/baristę,9  gru,Pełny etat,Umowa o pracę,od 4 000 zł do 5 500 zł/mies.  brutto,https://www.olx.pl/oferta/restauracja-pasjo-zatrudni-barmana-bariste-CID4-IDAWZa5.html#894c58ffe1
zatrudnię do gastronomii,"Kraków, Łagiewniki-Borek Fałęcki",Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/zatrudnie-do-gastronomii-CID4-IDzVNWg.html#894c58ffe1
Kucharza zatrudni 4*Hotel z Wieliczki,9  gru,Pełny etat,Umowa o pracę,2 600 zł/mies. brutto,https://www.olx.pl/oferta/kucharza-zatrudni-4hotel-z-wieliczki-CID4-IDyxfyI.html#894c58ffe1
Kelnera zatrudni 4* Hotel w Wieliczce,"Kraków, Bieżanów-Prokocim",Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kelnera-zatrudni-4-hotel-w-wieliczce-CID4-IDfzMQT.html#894c58ffe1
KELNER Restauracja Zielonym Do Góry/Aparthotel Lwowska 1,9  gru,Pełny etat,Umowa o pracę,od 3 000 zł do 4 500 zł/mies.  brutto,https://www.olx.pl/oferta/kelner-restauracja-zielonym-do-gory-aparthotel-lwowska-1-CID4-IDC2wmj.html#894c58ffe1
Praca w kuchni,"Kraków, Podgórze",Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/praca-w-kuchni-CID4-IDzESEX.html#894c58ffe1
"Praca w Handelek Sniadaniownia i Chleb, wino i deski",9  gru,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/praca-w-handelek-sniadaniownia-i-chleb-wino-i-deski-CID4-IDA7knd.html#894c58ffe1
Pomocnik pizzera Weekendy,"Kraków, Podgórze Duchackie",Pełny etat,Umowa o pracę,od 3 100 zł do 3 800 zł/mies.  brutto,https://www.olx.pl/oferta/pomocnik-pizzera-weekendy-CID4-IDzzy7f.html#894c58ffe1
McDonald's Galeria Krakowska(zmiana nocna) poziom - 1 ul. Pawia,9  gru,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/mcdonalds-galeria-krakowskazmiana-nocna-poziom-1-ul-pawia-CID4-IDvCZXc.html#894c58ffe1
