model,production year,mileage,engine capacity,price,currency,city,region
Ford Focus Mk3,2012,123 114 km,1 596 cm3,32 000,PLN,Kraków,Ma³opolskie
Ford Focus Mk3,2011,85 612 km,1 596 cm3,33 000,PLN,Kraków,Ma³opolskie
Ford Focus Mk2,2010,115 080 km,1 596 cm3,21 998,PLN,Kraków,Ma³opolskie
Ford Focus Mk3,2015,94 000 km,1 600 cm3,41 900,PLN,Wroc³aw,Dolnoœl¹skie
Ford Focus Mk2,2010,146 000 km,1 400 cm3,16 900,PLN,Sosnowiec,Œl¹skie
Ford Focus Mk3,2012,126 000 km,1 000 cm3,30 900,PLN,Nowy S¹cz,Ma³opolskie
Ford Focus Mk3,2013,102 000 km,1 000 cm3,29 900,PLN,Swarzêdz,Wielkopolskie
Ford Focus Mk2,2010,143 975 km,1 596 cm3,21 000,PLN,Poznañ,Wielkopolskie
Ford Focus Mk3,2015,109 065 km,1 596 cm3,33 999,PLN,Poznañ,Wielkopolskie
Ford Focus Mk3,2014,125 859 km,998 cm3,27 900,PLN,Koœcierzyna,Pomorskie
Ford Focus Mk3,2015,120 402 km,1 499 cm3,38 974,PLN,Piaseczno,Mazowieckie
Ford Focus Mk3,2011,126 231 km,1 600 cm3,30 500,PLN,D¹browa Górnicza,Œl¹skie
Ford Focus Mk3,2016,98 120 km,2 000 cm3,33 900,PLN,Rawa Mazowiecka,£ódzkie
Ford Focus Mk3,2012,95 485 km,1 596 cm3,32 900,PLN,K³obuck,Œl¹skie
Ford Focus Mk3,2014,134 332 km,1 596 cm3,33 800,PLN,Zagórze,Ma³opolskie
Ford Focus Mk3,2016,88 000 km,1 498 cm3,49 900,PLN,Czêstochowa,Œl¹skie
Ford Focus Mk2,2009,131 571 km,1 596 cm3,17 900,PLN,Ostrzeszów,Wielkopolskie
Ford Focus Mk2,2010,116 000 km,1 596 cm3,19 999,PLN,Œwidwin,Zachodniopomorskie
Ford Focus Mk2,2010,130 688 km,1 596 cm3,21 000,PLN,Katowice,Œl¹skie
Ford Focus Mk3,2011,132 000 km,1 600 cm3,27 900,PLN,Jastrzêbie-Zdrój,Œl¹skie
Ford Focus Mk3,2014,111 577 km,1 596 cm3,30 999,PLN,Katowice,Œl¹skie
Ford Focus Mk3,2013,120 000 km,998 cm3,25 900,PLN,Czêstochowa,Œl¹skie
Ford Focus Mk3,2015,104 681 km,1 000 cm3,39 900,PLN,Pêpowo,Pomorskie
Ford Focus Mk3,2013,130 000 km,1 000 cm3,29 999,PLN,Krasków,Opolskie
Ford Focus Mk2,2009,138 000 km,1 600 cm3,15 900,PLN,Pi³a,Wielkopolskie
Ford Focus Mk3,2014,90 000 km,1 000 cm3,26 900,PLN,Lubin,Dolnoœl¹skie
Ford Focus Mk2,2010,109 000 km,1 600 cm3,19 900,PLN,Bia³ystok,Podlaskie
Ford Focus Mk3,2011,128 000 km,1 596 cm3,25 500,PLN,Pi³a,Wielkopolskie
Ford Focus Mk2,2009,93 774 km,1 596 cm3,21 000,PLN,Piaseczno,Mazowieckie
Ford Focus Mk3,2012,142 126 km,1 596 cm3,29 000,PLN,Piaseczno,Mazowieckie
Ford Focus Mk3,2016,83 000 km,1 596 cm3,33 700,PLN,Minkowice O³awskie,Dolnoœl¹skie
Ford Focus Mk3,2013,91 115 km,998 cm3,28 900,PLN,Sieroniowice,Opolskie
Ford Focus Mk3,2014,89 000 km,1 999 cm3,49 999,PLN,Gniezno,Wielkopolskie
Ford Focus Mk3,2011,78 000 km,1 600 cm3,30 000,PLN,Pu³awy,Lubelskie
Ford Focus Mk3,2014,149 000 km,999 cm3,26 900,PLN,Pi³a,Wielkopolskie
Ford Focus Mk3,2015,85 850 km,1 596 cm3,35 000,PLN,Piaseczno,Mazowieckie
Ford Focus Mk3,2016,76 640 km,1 999 cm3,44 900,PLN,¯nin,Kujawsko-pomorskie
Ford Focus Mk3,2013,101 000 km,1 600 cm3,34 800,PLN,Gniezno,Wielkopolskie
Ford Focus Mk3,2012,105 000 km,1 000 cm3,27 900,PLN,Radom,Mazowieckie
Ford Focus Mk3,2015,83 500 km,2 000 cm3,34 500,PLN,Bia³ystok,Podlaskie
Ford Focus Mk3,2011,85 579 km,1 596 cm3,28 000,PLN,Warszawa,Mazowieckie
Ford Focus Mk2,2009,149 000 km,1 600 cm3,16 900,PLN,Tarnów,Ma³opolskie
Ford Focus Mk3,2011,99 000 km,1 596 cm3,28 500,PLN,Bia³ystok,Podlaskie
Ford Focus Mk3,2011,118 000 km,1 596 cm3,29 900,PLN,Kalisz,Wielkopolskie
Ford Focus Mk3,2015,75 000 km,1 600 cm3,43 899,PLN,Katowice,Œl¹skie
Ford Focus Mk3,2011,131 000 km,1 600 cm3,27 500,PLN,Warszawa,Mazowieckie
Ford Focus Mk3,2017,105 700 km,2 000 cm3,27 000,PLN,Mielec,Podkarpackie
